([5, 15], 'PER')
([326, 333], 'MISC')
([437, 444], 'MISC')
([474, 484], 'PER')
([588, 605], 'PER')
([643, 651], 'MISC')
([964, 974], 'PER')
([708, 726], 'PER')
([756, 764], 'PER')
([856, 859], 'PER')
([872, 882], 'PER')
([896, 906], 'PER')
([1082, 1091], 'LOC')
([1260, 1270], 'PER')
([32, 38], 'MISC')
([128, 134], 'LOC')
([160, 167], 'LOC')
([574, 579], 'LOC')
([1088, 1097], 'LOC')
([829, 834], 'LOC')
([913, 921], 'ORG')
([967, 972], 'LOC')
([1018, 1023], 'LOC')
([1071, 1078], 'MISC')
([1141, 1146], 'LOC')
([1196, 1201], 'LOC')
([248, 253], 'LOC')
([467, 482], 'MISC')
([601, 609], 'MISC')
([722, 729], 'MISC')
([737, 743], 'MISC')
([836, 848], 'LOC')
([26, 31], 'LOC')
([76, 81], 'LOC')
([133, 138], 'LOC')
([578, 593], 'MISC')
([610, 617], 'MISC')
([660, 668], 'LOC')
([710, 718], 'LOC')
([763, 769], 'MISC')
([808, 816], 'LOC')
([850, 858], 'LOC')
([890, 899], 'ORG')
([930, 938], 'LOC')
([38, 46], 'MISC')
([122, 130], 'LOC')
([344, 353], 'LOC')
([358, 367], 'LOC')
([369, 378], 'LOC')
([425, 433], 'PER')
([472, 487], 'LOC')
([520, 528], 'PER')
([558, 567], 'ORG')
([733, 740], 'PER')
([746, 759], 'ORG')
([777, 789], 'LOC')
([814, 823], 'ORG')
([832, 841], 'ORG')
([846, 855], 'ORG')
([897, 905], 'LOC')
([936, 945], 'LOC')
([1053, 1062], 'LOC')
([1330, 1343], 'ORG')
([1372, 1381], 'ORG')
([1405, 1413], 'LOC')
([1432, 1440], 'LOC')
([1547, 1553], 'PER')
([1658, 1661], 'ORG')
([1666, 1672], 'PER')
([1701, 1710], 'ORG')
([1733, 1737], 'PER')
([1831, 1844], 'ORG')
([1938, 1950], 'MISC')
([1970, 1976], 'MISC')
([2033, 2046], 'ORG')
([2090, 2099], 'MISC')
([2147, 2159], 'MISC')
([2180, 2192], 'LOC')
([2713, 2719], 'MISC')
([2735, 2747], 'LOC')
([2796, 2798], 'LOC')
([2907, 2920], 'LOC')
([2998, 3004], 'MISC')
([3052, 3058], 'MISC')
([3239, 3245], 'MISC')
([3392, 3400], 'LOC')
([8, 25], 'PER')
([86, 92], 'LOC')
([110, 117], 'LOC')
([149, 155], 'LOC')
([182, 191], 'PER')
([335, 342], 'LOC')
([526, 534], 'LOC')
([710, 724], 'PER')
([1345, 1352], 'PER')
([2186, 2200], 'PER')
([2247, 2253], 'MISC')
([2369, 2379], 'ORG')
([127, 137], 'MISC')
([188, 205], 'PER')
([258, 265], 'PER')
([370, 378], 'LOC')
([484, 493], 'PER')
([540, 553], 'LOC')
([591, 598], 'PER')
([459, 466], 'PER')
([712, 719], 'MISC')
([731, 744], 'MISC')
([760, 767], 'MISC')
([934, 948], 'PER')
([975, 982], 'LOC')
([1179, 1192], 'LOC')
([1250, 1259], 'LOC')
([1266, 1271], 'LOC')
([1280, 1289], 'PER')
([1385, 1390], 'PER')
([1569, 1575], 'PER')
([1601, 1608], 'PER')
([1626, 1634], 'ORG')
([1659, 1667], 'PER')
([1692, 1697], 'PER')
([1699, 1704], 'PER')
([1724, 1732], 'LOC')
([1749, 1757], 'LOC')
([1215, 1227], 'LOC')
([64, 74], 'LOC')
([86, 93], 'LOC')
([145, 156], 'LOC')
([223, 231], 'MISC')
([267, 275], 'MISC')
([379, 388], 'LOC')
([404, 411], 'LOC')
([440, 451], 'LOC')
([468, 480], 'LOC')
([494, 502], 'MISC')
([581, 587], 'LOC')
([605, 616], 'LOC')
([641, 651], 'ORG')
([665, 671], 'LOC')
([867, 873], 'LOC')
([904, 910], 'LOC')
([972, 974], 'LOC')
([1006, 1008], 'LOC')
([1020, 1027], 'ORG')
([1041, 1047], 'MISC')
([1068, 1070], 'LOC')
([1197, 1205], 'LOC')
([1239, 1245], 'PER')
([1273, 1283], 'LOC')
([1343, 1351], 'LOC')
([1365, 1380], 'ORG')
([1439, 1445], 'MISC')
([1543, 1550], 'LOC')
([1652, 1663], 'LOC')
([1981, 1988], 'PER')
([2021, 2028], 'PER')
([742, 753], 'LOC')
([160, 166], 'LOC')
([204, 214], 'ORG')
([220, 230], 'ORG')
([380, 386], 'LOC')
([451, 459], 'LOC')
([1078, 1084], 'LOC')
([1145, 1153], 'LOC')
([1172, 1181], 'LOC')
([1254, 1260], 'LOC')
([1404, 1413], 'LOC')
([1551, 1558], 'LOC')
([1560, 1570], 'LOC')
([1575, 1583], 'LOC')
([1588, 1596], 'LOC')
([1672, 1679], 'LOC')
([1699, 1708], 'LOC')
([494, 500], 'MISC')
([529, 535], 'PER')
([28, 36], 'MISC')
([1229, 1235], 'MISC')
